p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives
8454,1,22,690,TRUE,TRUE,TRUE,TRUE,TRUE,11903.18,18,58,72,1,4,1,1,882,87,0,744,11,29,2698,422,5
25738,1,26,500,TRUE,TRUE,TRUE,TRUE,TRUE,11712.1,11,38,52,1,0,1,0,60,8,10,1961,40,33,2817,243,5
8467,2,27,690,TRUE,TRUE,TRUE,TRUE,TRUE,11705.4,23,49,56,0,2,0,4,248,37,9,1325,29,53,2937,466,5
58181,2,23,82,TRUE,TRUE,TRUE,FALSE,TRUE,11033.75,5,31,16,0,0,1,0,0,0,9,1970,102,16,2303,224,5
46940,2,28,169,TRUE,TRUE,TRUE,TRUE,FALSE,10981.66,6,56,30,4,127,0,4,609,38,27,1323,14,51,2741,187,5
54944,1,24,103,TRUE,TRUE,FALSE,TRUE,TRUE,10913.41,8,53,62,0,3,2,0,0,0,12,1629,118,22,2742,524,5
47569,2,33,163,TRUE,TRUE,TRUE,TRUE,TRUE,10906.89,15,44,96,2,128,2,0,720,127,5,1207,34,23,3096,489,5
35688,1,19,318,FALSE,FALSE,FALSE,FALSE,FALSE,10788.3,30,38,57,1,0,0,7,2502,331,0,0,0,61,3955,1174,5
46736,2,39,171,FALSE,FALSE,FALSE,FALSE,FALSE,10728.22,36,33,110,1,3,4,4,1467,274,12,1017,29,68,3172,630,5
47753,1,29,161,FALSE,FALSE,TRUE,FALSE,FALSE,10652.3,17,32,24,1,0,0,2,1092,54,1,1073,63,22,3021,405,5
56321,1,20,95,FALSE,FALSE,FALSE,FALSE,FALSE,10637,15,44,58,1,0,0,0,0,0,1,1979,115,18,2288,294,5
50198,1,23,141,TRUE,TRUE,TRUE,TRUE,TRUE,10602.87,7,32,42,0,0,1,5,2210,143,0,0,0,18,2649,265,5
47342,2,26,165,TRUE,TRUE,TRUE,TRUE,TRUE,10593.26,7,46,47,0,130,0,1,1516,189,1,788,24,9,3446,439,5
26904,1,21,480,TRUE,TRUE,TRUE,TRUE,TRUE,10569.45,11,46,53,0,1,0,0,8,3,5,380,12,49,2100,306,5
